Response.variable,Variety,Speaker,Speaker.sex,Speaker.YOB,Semantics,Recipient.type,Recipient.animacy,Recipient.definiteness,Recipient.length,Theme.type,Theme.animacy,Theme.length
D,CAN,can-2-99,M,1987,C,P,A,Definite,1,D,I,1
D,CAN,can-2-99,M,1987,T,P,A,Definite,1,N,I,1
D,CAN,can-2-99,M,1987,T,P,A,Definite,1,N,I,1
D,CAN,can-2-100,M,1992,A,P,A,Definite,1,N,I,1
D,CAN,can-2-101,F,1992,T,P,A,Definite,1,N,I,1
D,CAN,can-2-101,F,1992,T,P,A,Definite,1,N,I,1
D,CAN,can-2-105,F,1984,A,P,A,Definite,1,N,I,1
D,CAN,can-2-110,F,1984,T,P,A,Definite,1,N,I,1
D,CAN,can-2-110,F,1984,T,P,A,Definite,1,N,I,1
D,CAN,can-2-110,F,1984,A,P,A,Definite,1,N,I,1
D,CAN,can-2-110,F,1984,C,P,A,Definite,1,D,I,1
D,CAN,can-2-112,M,1989,A,P,A,Definite,1,N,I,1
D,CAN,can-3-65,M,1988,A,P,A,Definite,1,N,I,1
D,CAN,can-3-66,M,1986,A,P,A,Definite,1,N,I,1
D,CAN,can-3-66,M,1986,C,P,A,Definite,1,N,I,1
D,CAN,can-3-67,M,1988,C,P,A,Definite,1,N,I,1
D,CAN,can-3-67,M,1988,T,P,A,Definite,1,N,I,1
D,CAN,can-3-72,M,1991,A,N,I,Definite,2,N,T,1
D,CAN,can-3-73,F,1989,T,P,A,Definite,1,N,I,1
D,CAN,can-3-77,F,1984,C,P,A,Definite,1,N,I,1
D,CAN,can-3-80,F,1987,A,P,A,Definite,1,N,I,2
D,CAN,can-3-82,F,1985,C,P,A,Definite,1,N,I,1
D,CAN,can-3-82,F,1985,A,P,A,Definite,1,N,I,1
D,CAN,can-3-82,F,1985,A,P,A,Definite,1,N,I,1
D,CAN,can-3-82,F,1985,C,P,A,Definite,1,N,I,1
D,CAN,can-3-84,F,1985,T,P,A,Definite,1,N,I,1
D,CAN,can-3-85,F,1991,T,P,A,Definite,1,N,I,1
D,CAN,can-3-87,M,1990,T,P,A,Definite,1,N,I,1
D,CAN,can-4-97,F,1986,T,P,A,Definite,1,I,I,1
D,CAN,can-4-98,F,1988,C,P,A,Definite,1,I,I,1
D,CAN,can-4-99,M,1990,A,P,A,Definite,1,N,I,1
D,CAN,can-4-100,M,1988,A,P,A,Definite,1,N,T,1
D,CAN,can-4-104,M,1987,C,P,A,Definite,1,N,I,1
D,CAN,can-4-104,M,1987,A,P,A,Definite,1,N,I,1
D,CAN,can-4-81,F,1994,T,P,A,Definite,1,N,I,1
D,CAN,can-5-97,F,1988,C,P,A,Definite,1,N,I,1
D,CAN,can-5-97,F,1988,T,P,A,Definite,1,N,I,1
D,CAN,can-5-98,M,1987,A,P,A,Definite,1,N,I,1
D,CAN,can-5-100,F,1983,A,P,A,Definite,1,N,I,1
D,CAN,can-5-104,M,1991,T,P,A,Definite,1,P,I,1
D,CAN,can-5-105,F,1991,T,P,A,Definite,1,D,I,1
D,CAN,can-5-107,M,1985,A,P,A,Definite,1,N,I,1
D,CAN,can-5-111,M,1984,T,P,A,Definite,1,N,I,1
D,CAN,can-5-111,M,1984,A,P,A,Definite,1,N,I,1
D,CAN,can-5-111,M,1984,T,P,A,Definite,1,N,I,1
D,CAN,can-5-111,M,1984,A,P,A,Definite,1,N,I,1
D,CAN,can-5-112,F,1986,T,P,A,Definite,1,N,I,1
D,CAN,can-7-64,F,1896,T,P,A,Definite,1,N,I,1
D,CAN,can-7-64,F,1896,A,N,A,Definite,3,N,T,1
D,CAN,can-7-70,F,1896,A,P,A,Definite,1,N,I,1
D,CAN,can-7-70,F,1896,A,P,A,Definite,1,N,I,1
D,CAN,can-7-70,F,1896,T,P,A,Definite,1,N,I,1
D,CAN,can-7-71,M,1896,A,D,I,Definite,1,N,I,1
D,CAN,can-7-75,M,1896,A,P,A,Definite,1,N,I,1
D,CAN,can-7-88,M,1896,T,P,A,Definite,1,I,I,1
D,CAN,can-7-89,F,1896,A,P,A,Definite,1,N,I,1
D,CAN,can-7-122,F,1896,A,P,A,Definite,1,I,I,1
D,CAN,can-b-97,M,1959,T,P,A,Definite,1,N,I,1
D,CAN,can-b-98,F,1935,A,P,A,Definite,1,N,I,1
D,CAN,can-b-99,F,1934,T,P,A,Definite,1,P,I,1
