Type,Freq.Const.Speaker,Agt.Freq.Noun,Tense,Pr.2.Pr,Co.2.Pr,Polarity,Style,Gender,Age,Education
Singular,0,0,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,University
Singular,0,0.02,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,University
Plural,0,0.015,All.Others,Singular,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Plural,0.3333,0.02,All.Others,Pluralized,Pluralized,Negative,Interview,Female,Oldest.Speakers,University
Plural,0.5,0.095,All.Others,Pluralized,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Plural,0.6,0.095,All.Others,Pluralized,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.6667,0.015,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.7143,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.625,0.12,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.6667,0.015,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.6,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.5455,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.5833,0.03,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.6429,0.015,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.6667,0.045,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.625,0.04,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.5882,0.04,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.5556,0.22,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.5263,0.09,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.5,0.09,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.4762,0.09,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.4545,0.03,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.4348,0,All.Others,Pluralized,Pluralized,Negative,Interview,Female,Oldest.Speakers,University
Singular,0.4167,0.09,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.4,0.02,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.3846,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3704,0.03,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.3571,0,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.3448,0.05,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.3333,0.05,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.3226,0.04,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.3125,0.04,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.303,0,Present-Preterit,Pluralized,No.Priming,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2941,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2857,0.105,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2778,0.3,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2703,0.12,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2632,0.235,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2564,0.135,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.25,0.135,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2439,0.005,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2381,0.01,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2326,0.05,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2273,0.05,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2222,0.015,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2174,0.015,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2128,0.065,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2083,0.01,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2075,0.01,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2037,0.01,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.1964,0.01,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2105,0.19,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2069,0.075,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.2034,0.09,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Plural,0.1967,0.095,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2031,0.015,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2154,0.015,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University
Singular,0.2273,0,All.Others,No.Priming,Singular,Positive,Interview,Female,Oldest.Speakers,University
Plural,0.2239,0.12,All.Others,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2206,0.095,Present-Preterit,No.Priming,Singular,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2174,0.015,All.Others,Singular,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Plural,0.2143,0.12,All.Others,Singular,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Plural,0.2113,0,All.Others,Pluralized,No.Priming,Positive,Interview,Female,Oldest.Speakers,University
Plural,0.2083,0.17,All.Others,No.Priming,Singular,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2162,0.005,All.Others,No.Priming,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2133,0.01,Present-Preterit,No.Priming,Singular,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2237,0.005,Present-Preterit,No.Priming,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2338,0.005,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2308,0.03,All.Others,No.Priming,Singular,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.225,0,Present-Preterit,No.Priming,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2346,0,Present-Preterit,Singular,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2439,0,Present-Preterit,Singular,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.253,0,Present-Preterit,No.Priming,Pluralized,Positive,Interview,Female,Oldest.Speakers,University
Singular,0.2619,0,Present-Preterit,No.Priming,Singular,Positive,Interview,Female,Oldest.Speakers,University
