syllables,characters,imagery,concreteness,associations,type,word
1,4,4.13,2.47,7,high,time
1,4,4.07,2.96,6.78,high,life
1,4,6.5,6.25,6.88,high,home
1,6,6.63,6.59,7.52,high,church
1,4,3.03,2.6,5.88,high,mind
1,4,6.6,7,7.96,high,door
2,7,6.2,6.38,7.28,high,college
1,4,6.87,6.83,5.12,high,girl
5,10,6.53,5.87,7.2,high,university
2,8,4.1,3.63,5.8,high,pressure
2,6,3.43,1.86,5.72,high,spirit
2,6,5.83,6.51,5.68,high,person
2,5,6.63,6.83,7.52,high,river
2,5,6.3,6.89,7.68,high,paper
3,8,4.87,5.99,5.76,high,property
1,5,6.27,6.58,7.56,high,earth
2,6,3.33,2.22,5.75,high,effort
2,6,6.37,6.94,5.96,high,letter
1,4,3.6,2.93,5.56,high,hour
2,6,4.53,5.14,6.16,high,volume
2,7,3.53,2.25,5.08,high,trouble
1,7,4.07,3.05,6.56,high,science
2,6,4.47,3.88,5.36,high,series
1,6,3.73,3.75,5.84,high,length
3,8,2.77,1.83,5.6,high,attitude
1,6,4.1,3.54,6.39,high,health
1,4,5.27,6.35,5.36,high,poet
1,4,4.63,4.18,6.68,high,lord
1,4,6.27,6.34,7.5,high,king
2,7,4.2,5.8,5.12,high,product
2,5,2.9,3.72,5.04,high,event
1,5,6.27,6.25,7.04,high,judge
2,6,6.57,6.94,7.24,high,bottle
2,6,5.13,5.83,6.16,high,leader
2,6,6.57,6.66,6.56,high,valley
2,6,4.97,5.53,5.28,high,master
3,6,6.1,6.75,7,high,animal
2,6,6.63,6.69,9.12,high,forest
3,9,6.57,6.56,6.12,high,newspaper
1,4,6.47,6.63,7.52,high,cell
1,5,4.6,3.03,5.44,high,dream
3,7,6.73,6.87,6.4,high,library
2,4,3.17,2.32,5.6,high,duty
1,5,6.13,6.59,6.4,high,coast
3,7,4.93,2.95,6.12,high,victory
2,6,6.23,6,4.88,high,circle
2,8,4.5,5.24,6.32,high,contract
1,5,6.23,6.96,7.24,high,stone
2,7,4.87,5.63,7.44,high,disease
2,7,4.1,3.09,5.82,high,silence
1,3,6.57,6.93,5.32,low,lip
1,3,5.97,6.62,6.04,low,rod
4,10,2.4,2.25,5.36,low,hypothesis
2,6,6.43,6.69,8,low,meadow
4,9,3.57,2.92,5.92,low,violation
1,6,6.53,6.59,6.88,low,priest
3,6,6.5,7,7.13,low,potato
2,6,3.43,2.99,5.33,low,custom
3,9,6.37,6.59,5.92,low,physician
5,12,3.2,2.49,5.2,low,emancipation
2,6,4.43,2.6,5.72,low,vigour
2,5,6.53,6.96,6.42,low,tower
1,3,6.23,6.69,7.36,low,fur
2,6,6.43,6.7,7.12,low,saloon
4,9,1.83,1.93,3,low,criterion
1,5,4.7,1.86,6.32,low,grief
4,9,5.83,6.76,6.92,low,vegetable
3,9,4.47,2.18,4.5,low,amazement
3,7,5,4.75,6.16,low,robbery
3,11,6.43,6.66,6.08,low,grandmother
1,5,6.4,7,7.96,low,wheat
1,4,3.63,4.19,5.32,low,deed
1,4,5.63,6.2,5.44,low,lump
1,4,6.5,6.96,6.08,low,nail
4,9,4.23,2.18,5.64,low,hostility
5,14,4.73,3.84,6,low,multiplication
3,8,3.57,4.42,5.06,low,citation
1,6,5.73,5.7,6.92,low,shriek
3,7,4.4,1.93,6.44,low,bravery
4,8,4.47,4.18,5.72,low,panorama
3,11,3.23,2.35,4.12,low,distraction
1,5,3.53,1.73,5.52,low,greed
2,6,5.83,6.28,6.92,low,bandit
4,8,2.13,2.56,4.48,low,allegory
2,5,6.4,6.73,6,low,jelly
2,7,5.4,6.07,6.48,low,settler
2,6,6.1,6.52,5.04,low,maiden
2,7,5.33,6.17,5.65,low,gingham
4,7,4.47,4.87,5.72,low,alimony
2,7,6.1,6.8,7.43,low,skillet
3,7,5.17,4.85,6.72,low,algebra
2,6,2.9,3.63,5.41,low,gender
2,9,5.3,3.22,6.13,low,courtship
3,10,2.93,2.34,3.68,low,inducement
1,5,5.63,4.4,5.36,low,nymph
2,6,5.23,6.18,5.4,low,rubble
4,9,6.27,6.38,6.72,low,avalanche
3,8,4.33,2.88,6,low,exertion
2,7,5.47,6.62,4.92,low,leaflet
5,11,1.87,2.08,3.75,low,impropriety
3,6,3.37,3.72,6,low,malady
