norm_F1,Proactive,Reactive,Style,BirthYear,Sex,PartnerEthnicity,PhillyLiveTime,HighSchoolType,Occupation_Group,wordLength
716,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
816,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
705,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
866,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
903,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,7
862,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
850,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,3
1057,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
682,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
738,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
728,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
749,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
911,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
905,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
835,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
733,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
939,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
947,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
743,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
617,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
686,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
779,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,5
577,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
771,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
840,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
715,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
812,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
903,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
620,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
777,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
905,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
714,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
891,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
801,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
687,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
911,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
826,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
884,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
826,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
794,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
718,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
896,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
659,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
631,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
709,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
817,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
1035,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
574,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,10
853,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
685,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
792,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
647,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
664,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
665,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
820,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
659,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
736,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
