Frequency,Sex,ageCohort,SpeechRate
2nd frequency quartile,male,1900-1925,3.144654
3rd frequency quartile,male,1976-2000,6.882591
4th frequency quartile,female,1900-1925,6.870229
2nd frequency quartile,female,1976-2000,7.217848
3rd frequency quartile,female,1926-1950,5.866667
3rd frequency quartile,female,1926-1950,5.745184
4th frequency quartile,male,1976-2000,7.07449
2nd frequency quartile,female,1900-1925,5.788712
4th frequency quartile,male,1926-1950,4.385965
2nd frequency quartile,female,1951-1975,4.137931
3rd frequency quartile,male,1900-1925,4.729149
1st frequency quartile,female,1951-1975,6.04337
4th frequency quartile,male,1951-1975,4.950495
1st frequency quartile,female,1926-1950,4.363636
2nd frequency quartile,female,1926-1950,6.796117
2nd frequency quartile,male,1900-1925,6.91085
1st frequency quartile,female,1976-2000,4.946996
1st frequency quartile,female,1900-1925,4.93479
1st frequency quartile,female,1976-2000,7.490637
1st frequency quartile,female,1900-1925,5.903188
1st frequency quartile,female,1900-1925,3.376097
4th frequency quartile,male,1926-1950,8.447044
1st frequency quartile,male,1926-1950,4.53772
2nd frequency quartile,male,1951-1975,5.488474
4th frequency quartile,female,1976-2000,5.789271
2nd frequency quartile,male,1900-1925,2.505219
1st frequency quartile,female,1951-1975,5.845511
1st frequency quartile,female,1951-1975,5.428882
1st frequency quartile,female,1900-1925,4.884857
3rd frequency quartile,male,1926-1950,6.802721
3rd frequency quartile,male,1926-1950,4.016064
3rd frequency quartile,female,1900-1925,6.013229
1st frequency quartile,male,1976-2000,3.992016
1st frequency quartile,male,1900-1925,4.862237
3rd frequency quartile,male,1900-1925,5.005562
3rd frequency quartile,female,1900-1925,5.164319
2nd frequency quartile,female,1900-1925,6.681514
1st frequency quartile,male,1951-1975,6.789525
1st frequency quartile,female,1951-1975,3.625816
1st frequency quartile,female,1900-1925,8.450704
1st frequency quartile,female,1900-1925,6.523157
2nd frequency quartile,female,1976-2000,5.678233
4th frequency quartile,female,1900-1925,5.809979
3rd frequency quartile,male,1976-2000,5.620082
4th frequency quartile,female,1976-2000,6.024096
4th frequency quartile,male,1900-1925,5.758157
3rd frequency quartile,female,1926-1950,4.347826
1st frequency quartile,female,1951-1975,6.200177
4th frequency quartile,male,1951-1975,4.449008
2nd frequency quartile,male,1926-1950,5.683837
2nd frequency quartile,female,1976-2000,5.546075
1st frequency quartile,female,1976-2000,6.018054
4th frequency quartile,female,1976-2000,6.530612
3rd frequency quartile,male,1926-1950,6.289308
3rd frequency quartile,female,1951-1975,6.52283
4th frequency quartile,female,1900-1925,4.622496
