type,noun,Typical.Action.Chain.Pos,province,state,negation,broad.regions,locality,before,token,after,tense,corpus,long,lat,characters_before_noun,noun_length
singular,guapas,head,Lérida,Cataluña,absent,East,Torregrossa, las bodas... | ,había," my guapas,",other,Coser,0.8292647,41.5803917,5,6
singular,probabilidades,tail.setting,Cádiz,Andalusia,absent,South,Cádiz,"es_vsip000 su_dp0000 trabajo_nc0s000 ,_fc una_di0000 mierda_nc0s000 de_sp000 trabajo_nc0s000 ._fpél_pp000000 se_p0000000 la_pp000000 ha_vaip000 jugado_vmp0000 ,_fc se_p0000000 ha_vaip000 puesto_vmp0000 delante_rg y_cc le_pp000000 pasó_vmis000 lo_da0000 que_pr000000",había_vaii000,probabilidades_nc0p000 de_sp000 que_pr000000 pasara._nc0s000,other,Twitter,-6.2885962,36.5270612,15,14
singular,matarifes,head,Madrid,Comunidad de Madrid,absent,Center,Valdilecha,"sí, ",había," matarifes, que llamaban. u",other,Coser,-3.3023856,40.2937839,18,9
plural,fotos,tail.setting,Barcelona,Catalonia,absent,East,Barcelona,no_rn me_pp000000 puedo_vmip000 creer_vmn0000 que_cs,hayan_vasp000,aparecido_aq0000 fotos_nc0p000 inéditas_aq0000 mías_nc0p000 de_sp000 cuando_cs voy_vmip000 en_sp000 metro_nc0s000 en_sp000 invierno_nc0s000 a_sp000 las_da0000 730_z0 httpst.colhvuzdhrll_nc0s000,other,Twitter,2.1734035,41.3850639,89,5
singular,olivas,tail.setting,Toledo,Castilla-La-Mancha,absent,Center,Tembleque,. yo no sé cuántas olivas ,habrá, ,other,Coser,-3.5041358,39.6958069,1,6
singular,auroras,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,kami_orochi_np00000 dicen_vmip000 q_np00000,habrá_vaif000,auroras_nc0p000 boreales_aq0000 mas_rg intensas_aq0000,other,Twitter,-3.7037902,40.4167754,22,7
plural,oportunidades,tail.setting,Asturias,Asturias,absent,North,Gijón,siempre_rg,habrán_vaif000,oportunidades_nc0p000 repetidas_aq0000 ._fp°_vmis000 °_f0 °_f0 °_f0 °_f0 °_f0 °_f0 °_f0 °_f0 ___________z0 °_f0 °_f0 °_f0 °_f0 °_f0 °_f0 °_f0 °_f0 °_f0 °_f0 ------------_aq0000 publicidad_nc0s000 ------------_aq0000 ..._fs https://t.co/nscf45oyic,other,Twitter,-5.6611195,43.5322015,125,13
plural,personas,head,Barcelona,Catalonia,absent,East,Barcelona,no_rn se_pp000000 cómo_pt000000,pueden_vmip000 haber_van0000,"personas_nc0p000 que_pr000000 crean_vmsp000 que_cs la_da0000 violencia_nc0s000 tanto_rg física_aq0000 como_cs psicológica_aq0000 a_sp000 una_di0000 pareja_nc0s000 o_cc a_sp000 cualquier_di0000 otra_di0000 persona_nc0s000 ,_fc es_vsip000 normal_aq0000",other,Twitter,2.1734035,41.3850639,109,8
singular,consecuencias,tail.setting,A Coruña,Galicia,absent,North,A Coruña,siempre_rg dije_vmis000 que_cs todos_di0000 éramos_vsii000 libres_aq0000 de_sp000 hacer_vmn0000 lo_da0000 que_pr000000 quisiéramos_vmsp000 pero_cc que_cs,había_vaii000,"consecuencias_nc0p000 ,_fc siempre_rg lo_pp000000 hizo_vmis000 mal_rg conmigo_nc0s000 y_cc nunca_rg las_pp000000",other,Twitter,-8.4115401,43.3623436,42,13
singular,sorpresas,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,#cuentodeluz_ao0000 y_cc fundación_nc0s000 lqdvi_np00000 pronto_rg,habrá_vaif000,sorpresas_nc0p000 !_fatsilvialvarezc_rg albert_bosch_np00000 mariaflqdvi_np00000 mariasalab_aq0000 httpst.corxudxip6rc_z0,other,Twitter,-3.7037902,40.4167754,52,9
singular,fichajes,tail.setting,Córdoba,Andalusia,present,South,Córdoba,isidoro_b_nc00000 juli_aq0000 y_cc pineda_aq0000 ._fpahí_rg no_rn,habrá_vaif000,fichajes_nc0p000 ._fp,other,Twitter,-4.7793835,37.8881751,2,8
singular,truenos,head,Barcelona,Catalonia,absent,East,Barcelona,parece_vmip000 que_cs va_vmip000 a_sp000 llover_vmn0000 y_cc recuerdo_vmip000 que_cs hace_vmip000 3_z0 años_nc0p000 llovió_vmis000 y_cc,hubo_vais000,truenos_nc0p000 como_cs nunca_rg y_cc no_rn creo_vmip000 en_sp000 estas_dd0000 cosas_nc0p000 pero_cc echo_np00000 de_sp000 menos_rg a_sp000 cory_np00000,synthetic.preterit,Twitter,2.1734035,41.3850639,62,7
singular,discordias,tail.setting,Segovia,Castilla y León,absent,Center,Muñoveros,"generalmente, siempre ",había, discordias entre,other,Coser,-3.9515009,41.1724717,7,10
singular,molinos,head,La Rioja,La Rioja,absent,North,Nestares,"en argote, que ",había, molinos,other,Coser,-2.6195475,42.2698898,1,7
singular,genocidios,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,despidodiferido_aq0000 elpais_espana_np00000 en_sp000 la_da0000 alemania_aq0000 nazi_nc0s000,hubo_vais000,genocidios_nc0p000 y_cc ahora_rg tambiénsólo_aq0000 hace_vmip000 falta_nc0s000 un_di0000 poquito_aq0000 de_sp000 #verguenza_nc0s000,synthetic.preterit,Twitter,-3.7037902,40.4167754,56,10
singular,periodistas,head,Sevilla,Andalusia,absent,South,Alcolea del Río,javiveliz_nc0s000 es_vsip000 una_di0000 maravilla_nc0s000 que_cs,haya_vasp000,periodistas_nc0p000 que_cs retransmitan_vmsp000 así_rg un_di0000 partido_nc0s000 ._fpenhorabuena_nc0s000 crack_nc0s000 ._fpquedan_vmip000 muy_rg pocos_pi000000 como_cs tú_pp000000 ._fprealbetis_nc0n000,other,Twitter,-5.6681456,37.6158112,62,11
singular,likes,tail.setting,Cantabria,Cantabria,present,North,Santander,#cuandoyoempecéentwitter_nc00000 no_rn,había_vaii000,"likes_nc0p000 ,_fc",other,Twitter,-3.8099803,43.4623057,2,5
singular,restricciones,tail.setting,Pontevedra,Galicia,absent,North,Vigo,atención_nc0s000 amig_nc0s000 conductor_aq0000 este_dd0000 martes_w y_cc el_da0000 miércoles_w,habrá_vaif000,restricciones_nc0p000 circulación_nc0s000 en_sp000 rúa_nc0s000 colón_aq0000 en.concellotui_np00000 ._fphttpst.com61h4rpza1_nc0s000,other,Twitter,-8.7207268,42.2405989,55,13
singular,ofertas,tail.setting,Valencia,Valencian Community,absent,East,Cheste,"frantorralva_nc0s000 yo_pp000000 hubiera_vasi000 apretado_aq0000 más_rg por_sp000 andré_rg ,_fc",había_vaii000,"ofertas_nc0p000 más_rg gordas_aq0000 ,_fc se_p0000000",other,Twitter,-0.6856076,39.4934832,16,7
singular,cosechadoras,head,Álava,País Vasco,present,North,Menagarai,no ,había," cosechadoras, dos meses entre segar y trillar,",other,Coser,-3.0735861,43.0957124,35,12
plural,cosas,tail.setting,Ciudad Real,Castilla-La-Mancha,absent,Center,Argamasilla de Alba,o ,habían," cosas y lo que pasa,",other,Coser,-3.0951959000000002,39.1264201,16,5
singular,chubascos,tail.setting,Granada,Andalusia,absent,South,Granada,atentos_aq0000 al_vaip000 cielo_nc0s000 ._fphoy_rg de_sp000 nuevo_aq0000,puede_vmip000 haber_van0000,chubascos_nc0p000 o_cc tormentas_nc0p000 httpst.co9hcemoqzlu_z0 httpst.cohxqxccv79d_nc0s000,other,Twitter,-3.5985571,37.1773363,52,9
singular,mujeres,head,Málaga,Andalusia,present,South,Málaga,manuroldansal_nc0s000 y_cc tan_rg ausente_aq0000 en_sp000 los_da0000 libros_nc0p000 de_sp000 arte_nc0s000 ._fpno_rn la_pp000000 conocía_vmii000 ._fpnunca_rg me_p0000000 cuestioné_vmip000 por_sp000 qué_pt000000 no_rn,había_vaii000,mujeres_nc0p000 pintoras_aq0000 en_sp000 aquella_dd0000 época._nc0s000,other,Twitter,-4.4212655,36.721261,27,7
singular,casas,tail.setting,Salamanca,Castilla y León,absent,Center,Alaraz,,había, aquí dos casas que tenían panales,other,Coser,-5.2880368,40.7481298,29,5
singular,diputados,head,Barcelona,Catalonia,absent,East,Barcelona,alvarolario_nc0s000 hola_nc0s000 y_cc si_cs,hubo_vais000,"diputados_nc0p000 andalucistas_nc0p000 en_sp000 barcelona_vmm0000 ,_fc por_sp000 qué_pt000000 no_rn iba_vmii000 a_sp000 poder_vmn0000 ser_vsn0000 esto_pd000000 cierto_aq0000 -rrb-_np00000 httpst.cowatfztl63e_nc0s000",synthetic.preterit,Twitter,2.1734035,41.3850639,93,9
singular,personas,head,Badajoz,Extremadura,absent,South,Mérida,siempre_rg,habrá_vaif000,personas_nc0p000 que_pr000000 serán_vsif000 especiales_nc0p000 ._fpsiempre._nc0n000,other,Twitter,-6.3408055,38.9191439,24,8
singular,imputados,head,Barcelona,Catalonia,present,East,Barcelona,ciudadanoscs_nc0p000 pide_vmip000 q_np00000 no_rn,haya_vasp000,imputados_nc0p000 en_sp000 el_da0000 gobierno_nc0s000 para_sp000 dar_vmn0000 el_da0000 sí_rg a_sp000 rajoy_nc0s000 ..._fs pero_cc si_cs el_da0000 pp_nc0n000 entero_aq0000 está_vmip000 imputado!httpst.coe1xsrs0hhu_z0,other,Twitter,2.1734035,41.3850639,97,9
singular,fuentes,tail.setting,Huesca,Aragón,present,East,Banastón,"no, no ",había," fuentes,",other,Coser,0.1672026,42.4061618,2,7
singular,opciones,tail.setting,Murcia,Region of Murcia,absent,South,Murcia,esta_dd0000 foto_nc0s000 con_sp000 el_da0000 cámara_nc0s000 ahí_rg ..._fs no_rn la_pp000000 entiendo_vmip000 ._fpcreo_vmip000 que_cs,había_vaii000,opciones_nc0p000 mucho_rg mejores_aq0000 ._fphttpst.cob8mn6webgp_nc0s000 #por_aq0000 httpst.com9ycyx7vjl_nc0s000,other,Twitter,-1.1306544,37.9922399,54,8
plural,problemas,tail.setting,Castellón,Valencian Community,present,East,Castellón de la Plana,"dannielmeri_nc00000 si_cs dejarais_vmip000 de_sp000 comentar_vmn0000 cosaa_nc0s000 que_cs pueden_vmip000 malinterpretarse_vmn0000 ,_fc no_rn",habrían_vaic000,problemas_nc0p000 -rrb-_aq0000,other,Twitter,-0.0513246,39.9863563,6,9
singular,preguntas,tail.setting,Valencia,Valencian Community,absent,East,Valencia,"la_da0000 nueva_aq0000 reválida_nc0s000 la_da0000 misma_pi000000 duración_nc0s000 que_pr000000 en_sp000 selectividad_nc0s000 ,_fc",habrá_vaif000,preguntas_nc0p000 tipo_nc0s000 test_nc0s000 y_cc examen_nc0s000 en_sp000 formato_nc0s000 digital_aq0000 ._fphttpst.codmoihvr2f8_nc0s000,other,Twitter,-0.3762881,39.4699075,53,9
singular,cambios,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,pepsi_aq0000 junta_nc0s000 firmas_nc0p000 para_sp000 que_cs,haya_vasp000,cambios_nc0p000 en_sp000 millonarios_aq0000 httpst.cojkuhjamttx_np00000 #marketingdeportivo_np00000,other,Twitter,-3.7037902,40.4167754,55,7
singular,médicos,head,Madrid,Comunidad de Madrid,absent,Center,Manzanares el Real,en principio yo pequeña ,había," dos [médicos], dos nada más, que uno era el tío de ",other,Coser,-3.8646893,40.7262858,45,7
singular,hombres,head,Teruel,Aragón,absent,East,Fuentes Claras,porque los hombres a lo mejor mientras los ,había, ,other,Coser,-1.3198112,40.8633848,1,7
singular,bomberos,head,Pontevedra,Galicia,absent,North,Vigo,gimlipollas_nc0p000,había_vaii000,bomberos_nc0p000 en_sp000 la_da0000 entrada_nc0s000 de_sp000 queimadelos_nc0p000 viniendo_vmg0000 de_sp000 villasobroso_aq0000 a_sp000 mondariz._np00000,other,Twitter,-8.7207268,42.2405989,66,8
plural,dias,tail.setting,Valencia,Valencian Community,absent,East,Oliva,buenos_aq0000 días_nc0p000 valientes_aq0000 !!!_aq0000aunque_cs,hayan_vasp000,"dias_nc0p000 en_sp000 que_pr000000 las_da0000 nubes_nc0p000 grises_aq0000 tapan_vmip000 el_da0000 cielo_nc0s000 azul_aq0000 ,_fc no_rn te_pp000000 rindas_vmip000 nunca_rg jamas_nc0p000 ,_fc ..._fs httpst.coj4fllxu6ug_nc0s000",other,Twitter,-0.1187855,38.9197587,97,4
singular,mujeres,head,Madrid,Community of Madrid,present,Center,Madrid,"según_cs reutersuk_vmm0000 ,_fc en_sp000 la_da0000 primera_ao0000 votación_nc0s000 ,_fc con_sp000 seis_dn0000 mujeres_nc0p000 y_cc seis_dn0000 hombres_nc0p000 ,_fc no_rn",hubo_vais000,mujeres_nc0p000 en_sp000 los_da0000 dos_dn0000 primeros_ao0000 puestos._nc0p000,synthetic.preterit,Twitter,-3.7037902,40.4167754,29,7
singular,caceroladas,tail.setting,Toledo,Castile-La Mancha,absent,Center,Torrijos,"#lnnegociaciones_nc0p000 si_cs los_da0000 políticos_nc0p000 siguen_vmip000 empeñados_aq0000 en_sp000 esta_dd0000 tesitura_nc0s000 ,_fc",habrá_vaif000,caceroladas_nc0p000 y_cc +_fz abucheos._vmip000,other,Twitter,-4.2811456,39.9833124,14,11
singular,ovejas,head,Madrid,Comunidad de Madrid,absent,Center,Manzanares el Real, pero aquí ,ha habido," pues muchas ovejas, muchas cabras, ",other,Coser,-3.8646893,40.7262858,30,6
plural,fechas,tail.setting,Province of Girona,Catalonia,absent,East,Sant Feliu de Guíxols,"abrahammateomus_nc0n000 oye_vmip000 ,_fc",habrán_vaif000,más_rg fechas_nc0p000 para_sp000 españa_nc0p000 #abrahammateo_aq0000 #kcamexico_aq0000,other,Twitter,3.031659,41.785023700000004,41,6
singular,personas,head,Madrid,Community of Madrid,absent,Center,Colmenarejo,y_cc qué_pt000000 bonito_aq0000 es_vsip000 que_cs,haya_vasp000,personas_nc0p000 que_cs hagan_vmsp000 que_cs tu_dp0000 risa_nc0s000 sea_vssp000 un_di0000 poco_rg más_rg fuerte_aq0000 y_cc tu_dp0000 sonrisa_nc0s000 un_di0000 poco_rg más_rg brillante,other,Twitter,-4.0167486,40.5609399,80,8
singular,novedades,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,rubens_cr_nc0s000 cuando_cs,haya_vasp000,novedades_nc0p000 lo_da0000 comunicaremos_vmif000 ._fpsaludos._nc0n000,other,Twitter,-3.7037902,40.4167754,20,9
singular,escuelas,tail.setting,Córdoba,Andalucía,absent,South,Santaella,,había," tre-, tres escuelas,",other,Coser,-4.8429898,37.5622053,13,8
plural,profesores,head,Alicante,Valencian Community,present,East,Alicante,pensaba_z0 que_pr000000 no_rn,habían_vaii000,profesores_nc0p000 tan_rg hdp_aq0000 pero_cc ya_rg veo_vmip000 que_cs sí_pp000000 ..._fs por_sp000 no_rn decir_vmn0000 más.,other,Twitter,-0.4906855,38.3459963,49,10
singular,personas,head,Ciudad Real,Castilla-La-Mancha,absent,Center,Argamasilla de Alba, terminó la guerra y él pues ,había," muchos que sí, te avisaban a trabajar,",other,Coser,-3.0951959000000002,39.1264201,39,8
