Subject,Word,Affix,LogRT,Sex,PrevError
2s14,appetitlig,lig,6.454238984,M,CORRECT
2s17,appetitlig,lig,6.842854025,M,CORRECT
2s15,appetitlig,lig,6.839958121,M,CORRECT
2s04,appetitlig,lig,6.834506937,M,CORRECT
2s06,appetitlig,lig,6.795191101,F,CORRECT
2s11,appetitlig,lig,7.062679945,M,CORRECT
2s21,appetitlig,lig,6.926213866,F,CORRECT
2s10,appetitlig,lig,6.765822983,M,CORRECT
2s03,appetitlig,lig,6.707338996,M,CORRECT
2s16,appetitlig,lig,6.649890875,M,CORRECT
2s13,appetitlig,lig,6.703543878,F,CORRECT
2s05,appetitlig,lig,6.950249475,F,CORRECT
2s22,appetitlig,lig,6.769538642,F,CORRECT
2s09,appetitlig,lig,6.820954789,F,CORRECT
2s18,appetitlig,lig,6.750539908,F,CORRECT
2s07,appetitlig,lig,6.98953801,F,CORRECT
2s02,appetitlig,lig,6.853256854,F,CORRECT
2s01,appetitlig,lig,6.895540987,M,CORRECT
2s20,appetitlig,lig,6.742078427,F,CORRECT
2s19,appetitlig,lig,6.743870712,F,CORRECT
2s11,arkiv,iv,6.720642261,M,CORRECT
2s09,arkiv,iv,6.624025386,F,CORRECT
2s13,arkiv,iv,6.500388364,F,CORRECT
2s14,arkiv,iv,6.581692674,M,CORRECT
2s04,arkiv,iv,6.84114528,M,CORRECT
2s02,arkiv,iv,6.535705604,F,CORRECT
2s15,arkiv,iv,6.708633384,M,CORRECT
2s10,arkiv,iv,6.546369255,M,ERROR
2s08,arkiv,iv,6.819656038,F,CORRECT
2s21,arkiv,iv,6.762821988,F,CORRECT
2s01,arkiv,iv,6.560634548,M,CORRECT
2s18,arkiv,iv,6.49971185,F,CORRECT
2s20,arkiv,iv,7.008577512,F,CORRECT
2s12,arkiv,iv,6.766997841,F,CORRECT
2s19,arkiv,iv,6.702267444,F,CORRECT
2s16,arkiv,iv,6.425938144,M,CORRECT
2s22,arkiv,iv,6.790085987,F,CORRECT
2s05,arkiv,iv,6.551080335,F,CORRECT
2s17,arkiv,iv,6.81044009,M,CORRECT
2s06,baroner,er,6.804514737,F,CORRECT
2s09,baroner,er,6.724757494,F,CORRECT
2s05,baroner,er,6.56240172,F,CORRECT
2s02,baroner,er,6.77485226,F,CORRECT
2s04,baroner,er,6.763249603,M,CORRECT
2s20,baroner,er,6.581969736,F,CORRECT
2s12,baroner,er,6.515142228,F,ERROR
2s03,baroner,er,6.562415845,M,CORRECT
2s22,baroner,er,6.681130676,F,CORRECT
2s07,baroner,er,6.658088065,F,ERROR
2s18,baroner,er,6.59963918,F,CORRECT
2s13,baroner,er,6.560917505,F,CORRECT
2s01,baroner,er,6.816834452,M,CORRECT
2s11,baroner,er,6.630472282,M,CORRECT
2s14,baroner,er,6.828690426,M,CORRECT
2s08,baroner,er,6.767481205,F,CORRECT
2s21,baroner,er,6.897492799,F,CORRECT
2s19,baroner,er,6.676755952,F,CORRECT
2s15,baroner,er,6.744200519,M,CORRECT
2s16,baroner,er,6.455890148,M,CORRECT
2s11,basere,ere,6.685736095,M,CORRECT
2s05,basere,ere,6.515601185,F,CORRECT
2s18,basere,ere,6.840803181,F,CORRECT
2s20,basere,ere,6.445338794,F,CORRECT
2s12,basere,ere,6.624596295,F,CORRECT
2s01,basere,ere,6.687769237,M,CORRECT
2s14,basere,ere,6.746400378,M,CORRECT
2s15,basere,ere,6.78769841,M,CORRECT
2s04,basere,ere,6.972999801,M,CORRECT
2s07,basere,ere,6.561256949,F,CORRECT
2s02,basere,ere,6.946918298,F,CORRECT
2s21,basere,ere,6.739312958,F,CORRECT
2s19,basere,ere,6.576344213,F,CORRECT
2s13,basere,ere,6.779569573,F,CORRECT
2s08,basere,ere,6.960954755,F,CORRECT
2s10,basere,ere,6.673891976,M,ERROR
2s16,basere,ere,6.57546628,M,CORRECT
2s22,basere,ere,6.919911097,F,CORRECT
2s03,basere,ere,6.7538579,M,CORRECT
2s20,blokere,ere,6.952307906,F,CORRECT
2s05,blokere,ere,6.456942325,F,CORRECT
2s08,blokere,ere,6.998135143,F,CORRECT
2s15,blokere,ere,6.778022377,M,CORRECT
2s04,blokere,ere,6.800760095,M,CORRECT
2s11,blokere,ere,6.659140062,M,CORRECT
2s13,blokere,ere,6.619126091,F,CORRECT
2s21,blokere,ere,6.696725558,F,CORRECT
2s09,blokere,ere,6.493935366,F,CORRECT
2s02,blokere,ere,6.746412129,F,CORRECT
2s03,blokere,ere,6.578195099,M,CORRECT
2s22,blokere,ere,6.960101019,F,CORRECT
2s01,blokere,ere,6.565405805,M,CORRECT
2s14,blokere,ere,6.750083407,M,CORRECT
2s18,blokere,ere,6.74222004,F,CORRECT
2s19,blokere,ere,6.612484485,F,CORRECT
2s06,blokere,ere,6.633107885,F,CORRECT
2s07,blokere,ere,6.5806530070000004,F,CORRECT
2s12,blokere,ere,6.561426627,F,CORRECT
2s16,blokere,ere,6.462904644,M,CORRECT
2s22,blomster,er,6.785983047,F,CORRECT
2s20,blomster,er,6.574140955,F,CORRECT
2s07,blomster,er,6.724613386,F,CORRECT
2s03,blomster,er,6.757699537,M,CORRECT
2s02,blomster,er,6.9668069,F,CORRECT
2s12,blomster,er,6.528147958,F,CORRECT
2s15,blomster,er,6.799223072,M,CORRECT
2s01,blomster,er,6.793387654,M,CORRECT
2s04,blomster,er,6.669053829,M,CORRECT
2s09,blomster,er,6.588981497,F,CORRECT
2s21,blomster,er,6.785305119,F,CORRECT
2s10,blomster,er,6.60787916,M,CORRECT
2s14,blomster,er,6.476756955,M,CORRECT
2s08,blomster,er,6.962281342,F,CORRECT
2s13,blomster,er,7.008215809,F,CORRECT
2s19,blomster,er,6.726137474,F,CORRECT
2s17,blomster,er,6.829069151,M,ERROR
2s11,blomster,er,6.735102825,M,CORRECT
2s05,brikker,er,6.502190166,F,CORRECT
2s20,brikker,er,6.627326835,F,ERROR
2s03,brikker,er,6.688192808,M,CORRECT
2s21,brikker,er,6.916358168,F,CORRECT
2s12,brikker,er,6.586171655,F,CORRECT
2s14,brikker,er,6.556735742,M,CORRECT
2s02,brikker,er,6.528221041,F,CORRECT
2s18,brikker,er,6.801594443,F,CORRECT
