word,pos,coca_frequency,word_length
time,noun,764657,4
year,noun,769254,4
people,noun,691468,6
other,adjective,547799,5
way,noun,470401,3
new,adjective,435993,3
day,noun,432773,3
man,noun,409760,3
thing,noun,400724,5
good,adjective,353973,4
woman,noun,341422,5
life,noun,333085,4
child,noun,333849,5
world,noun,303506,5
school,noun,304183,6
state,noun,272193,5
high,adjective,255936,4
family,noun,243267,6
old,adjective,236577,3
student,noun,255047,7
great,adjective,225005,5
big,adjective,227169,3
group,noun,229435,5
country,noun,223138,7
problem,noun,217728,7
hand,noun,225247,4
American,adjective,214968,8
part,noun,207861,4
place,noun,202427,5
case,noun,200773,4
week,noun,199268,4
company,noun,203345,7
system,noun,200175,6
program,noun,195985,7
question,noun,192070,8
work,noun,187533,4
government,noun,191314,10
small,adjective,185463,5
number,noun,186005,6
night,noun,184511,5
Mr,noun,188555,2
point,noun,177481,5
large,adjective,175611,5
home,noun,170527,4
water,noun,167666,5
room,noun,172472,4
mother,noun,169407,6
area,noun,165812,4
national,adjective,166359,8
money,noun,164794,5
story,noun,163582,5
young,adjective,160011,5
fact,noun,164401,4
month,noun,162685,5
different,adjective,162411,9
lot,noun,169570,3
right,noun,163259,5
study,noun,174069,5
book,noun,154013,4
eye,noun,169150,3
job,noun,154743,3
word,noun,152891,4
business,noun,154468,8
issue,noun,156417,5
side,noun,152559,4
kind,noun,155032,4
head,noun,160131,4
black,adjective,150718,5
long,adjective,149050,4
little,adjective,149658,6
house,noun,149251,5
service,noun,146122,7
friend,noun,142697,6
important,adjective,144194,9
father,noun,145051,6
power,noun,141357,5
hour,noun,138955,4
game,noun,146311,4
line,noun,135986,4
political,adjective,144437,9
end,noun,134104,3
bad,adjective,134910,3
member,noun,134731,6
law,noun,133706,3
car,noun,133571,3
city,noun,132684,4
community,noun,133057,9
name,noun,127139,4
white,adjective,126760,5
president,noun,134203,9
real,adjective,124187,4
team,noun,131489,4
minute,noun,126660,6
best,adjective,124850,4
idea,noun,122140,4
kid,noun,126428,3
body,noun,125165,4
information,noun,127331,11
right,adjective,126278,5
social,adjective,132899,6
back,noun,125006,4
parent,noun,119610,6
only,adjective,117700,4
face,noun,127291,4
public,adjective,119825,6
others,noun,115771,6
level,noun,121704,5
office,noun,114791,6
door,noun,124993,4
health,noun,117762,6
person,noun,113650,6
art,noun,117851,3
sure,adjective,116186,4
war,noun,117804,3
history,noun,114904,7
party,noun,112962,5
result,noun,116277,6
change,noun,112426,6
morning,noun,114002,7
reason,noun,106863,6
low,adjective,108990,3
research,noun,114802,8
girl,noun,110409,4
guy,noun,110409,3
early,adjective,108171,5
food,noun,107728,4
moment,noun,109720,6
air,noun,105932,3
teacher,noun,116100,7
force,noun,108005,5
education,noun,113731,9
foot,noun,107285,4
boy,noun,107447,3
able,adjective,103171,4
age,noun,103402,3
policy,noun,107601,6
process,noun,107341,7
music,noun,102657,5
human,adjective,101224,5
market,noun,100435,6
sense,noun,95896,5
nation,noun,97212,6
plan,noun,95824,4
college,noun,97038,7
interest,noun,96620,8
death,noun,93222,5
experience,noun,98106,10
local,adjective,92970,5
effect,noun,95216,6
use,noun,96564,3
class,noun,91323,5
control,noun,90301,7
care,noun,88862,4
late,adjective,86421,4
hard,adjective,86817,4
field,noun,87243,5
major,adjective,87487,5
development,noun,91995,11
role,noun,88666,4
better,adjective,83895,6
economic,adjective,90392,8
effort,noun,86473,6
rate,noun,87224,4
strong,adjective,83677,6
possible,adjective,85084,8
heart,noun,84536,5
drug,noun,86231,4
show,noun,86828,4
leader,noun,85438,6
light,noun,87427,5
voice,noun,89379,5
wife,noun,83601,4
whole,adjective,83756,5
police,noun,85880,6
mind,noun,82808,4
free,adjective,82090,4
military,adjective,85152,8
price,noun,84443,5
report,noun,83174,6
decision,noun,82429,8
son,noun,80895,3
view,noun,81338,4
relationship,noun,84549,12
town,noun,79821,4
road,noun,80987,4
arm,noun,84865,3
true,adjective,79299,4
federal,adjective,81826,7
difference,noun,82911,10
value,noun,82942,5
international,adjective,81610,13
building,noun,78487,8
action,noun,80009,6
