Word,AgeOfAcquisition,WordLength
squat,8.21,5
convolution,14,11
disarmament,13.31,11
supposed,8.67,8
fearfulness,9.79,11
regularize,11.94,10
tourist,8.76,7
spittoon,11.12,8
bugler,10.12,6
passivism,13.78,9
nonrefundable,10.95,13
transactional,15.25,13
trounce,11.47,7
cattleman,8.38,9
woolen,7.83,6
listlessness,12.88,12
horrifying,7.58,10
clove,10.88,5
stalagmite,11.6,10
candlestick,5.61,11
colic,13.06,5
trademark,10.37,9
nameplate,9.89,9
floodgate,11.17,9
monsoon,11.28,7
undersell,13.94,9
trident,11.59,7
carmine,15.62,7
remora,14,6
starch,10.67,6
walkway,7.95,7
hamster,4.37,7
inbred,12.68,6
desensitize,13.69,11
crane,6.78,5
nudeness,9.39,8
inconsistency,11.94,13
betrayer,9.17,8
shantytown,13.69,10
showgirl,11.72,8
billfold,9.38,8
glisten,9.21,7
insinuate,13.43,9
comprehend,11.16,10
cutback,12.26,7
malignant,13.67,9
birthright,13.37,10
hamstring,9.74,9
veggie,6.63,6
dragon,5.58,6
tem,11,3
neuroscientist,14.11,14
acquiesce,14.25,9
fakir,11,5
girdle,10.22,6
guideline,8.06,9
shipping,9.15,8
tradecraft,12.56,10
trigger,8.33,7
knob,4.68,4
idolize,10.75,7
overexcite,11.18,10
engineering,12.06,11
bedmate,11,7
entwine,11.18,7
irremovable,12.78,11
celeb,11.22,5
quarters,6.32,8
physicist,12.9,9
conjugal,16.87,8
minuteman,10.4,9
mulishness,12,10
nonproliferation,16,16
holy,5.55,4
hypoxia,16.5,7
teetotal,14.86,8
restaurant,5.95,10
innovative,11.17,10
interpretative,12.72,14
sprawling,11.5,9
preferable,9,10
formative,12.11,9
manatee,10.56,7
government,8.5,10
lasso,8.56,5
pillion,15,7
blame,6.48,5
dilatation,14.62,10
travail,14.91,7
recreation,8.83,10
tiling,10.63,6
articular,13.44,9
noninfectious,12,13
zealous,12.76,7
uncalled,8.59,8
directorship,12.33,12
concern,7.42,7
granary,11.38,7
hideousness,11.32,11
wellbeing,11.63,9
sugarloaf,10.31,9
top,3.89,3
mindful,10.9,7
store,4.76,5
algorithm,14.56,9
species,8.32,7
issuance,12.76,8
pyre,14.07,4
fractal,12,7
crony,12.8,5
fragile,8.28,7
geranium,11.41,8
mayday,8.32,6
musicale,10.88,8
autocrat,13.67,8
earth,5.37,5
memoirist,15.4,9
varmint,11.19,7
bribable,13,8
thrive,9.35,6
seventh,6.96,7
statistical,15.11,11
tripod,9.26,6
imaginative,8.74,11
raid,9.53,4
welt,9.22,4
mores,13.86,5
spadework,14.5,9
unconvinced,10.85,11
undersigned,12.89,11
warrantless,13.63,11
animus,15.08,6
